fold_id,horizon,signal_date,rank_ic,n_obs
fold_002,20,2021-05-13,0.21843537017269463,493
fold_002,20,2021-05-14,0.056302658291122146,493
fold_002,20,2021-05-17,0.1561913351742548,493
fold_002,20,2021-05-18,-0.051556343831640324,493
fold_002,20,2021-05-19,-0.15025320169412384,493
fold_002,20,2021-05-20,-0.3031301885273707,493
fold_002,20,2021-05-21,-0.09761346049292625,493
fold_002,20,2021-05-24,-0.18363749326035264,493
fold_002,20,2021-05-25,-0.21182526185012152,493
fold_002,20,2021-05-26,-0.05382734739967093,493
fold_002,20,2021-05-27,0.08442572066192348,493
fold_002,20,2021-05-28,-0.02856727028293313,493
fold_002,20,2021-06-01,0.2961556458328699,493
fold_002,20,2021-06-02,0.05486779185296972,493
fold_002,20,2021-06-03,0.15329770484554905,493
fold_002,20,2021-06-04,-0.014282457687154443,493
fold_002,20,2021-06-07,-0.02996353385577403,493
fold_002,20,2021-06-08,-0.02692333865603285,493
fold_002,20,2021-06-09,-0.11883279080645522,493
fold_002,20,2021-06-10,-0.20954056428441367,493
fold_002,20,2021-06-11,-0.20866387390605232,493
fold_002,20,2021-06-14,-0.2977411667833311,493
fold_002,20,2021-06-15,-0.19145064011476012,493
fold_002,20,2021-06-16,-0.27934774104279436,493
fold_002,20,2021-06-17,-0.19651902564204538,493
fold_002,20,2021-06-18,-0.05635209120841236,493
fold_002,20,2021-06-21,-0.1776780158528101,493
fold_002,20,2021-06-22,-0.2192191730548995,493
fold_002,20,2021-06-23,-0.1185581611784978,493
fold_002,20,2021-06-24,-0.06316715473798759,493
fold_003,20,2021-09-21,0.151776321626802,494
fold_003,20,2021-09-22,-0.0012482948303070473,494
fold_003,20,2021-09-23,0.0008003606375964238,494
fold_003,20,2021-09-24,-0.050445467907967556,494
fold_003,20,2021-09-27,-0.026352003497938536,494
fold_003,20,2021-09-28,-0.017166633278909996,494
fold_003,20,2021-09-29,-0.06433633509054498,494
fold_003,20,2021-09-30,0.010162077465970714,494
fold_003,20,2021-10-01,0.05417673453199868,494
fold_003,20,2021-10-04,0.07919978306012704,494
fold_003,20,2021-10-05,-0.022959169707252276,494
fold_003,20,2021-10-06,0.12062002611376006,494
fold_003,20,2021-10-07,-0.07754827916855701,494
fold_003,20,2021-10-08,0.08473807526359635,494
fold_003,20,2021-10-11,0.001648053790470932,494
fold_003,20,2021-10-12,0.06199680517511955,494
fold_003,20,2021-10-13,-0.06493175680682581,494
fold_003,20,2021-10-14,-0.04002482953213958,494
fold_003,20,2021-10-15,-0.08567762754367789,494
fold_003,20,2021-10-18,-0.08453317110122684,494
fold_003,20,2021-10-19,-0.07992416160366356,494
fold_003,20,2021-10-20,-0.01905913595382201,494
fold_003,20,2021-10-21,-0.1257001881254422,494
fold_003,20,2021-10-22,-0.04129887046694005,494
fold_003,20,2021-10-25,0.04121058568425697,494
fold_003,20,2021-10-26,0.09099309236395407,494
fold_003,20,2021-10-27,-0.10163537787650065,494
fold_003,20,2021-10-28,-0.08072873292387105,494
fold_003,20,2021-10-29,-0.08650559812024682,494
fold_003,20,2021-11-01,0.01190526286896471,494
fold_003,20,2021-11-02,-0.08134319042944994,494
fold_003,20,2021-11-03,-0.04326488697321442,494
fold_003,20,2021-11-04,-0.06582524397963997,494
fold_003,20,2021-11-05,0.01288211570099415,494
fold_003,20,2021-11-08,0.03899028180682122,494
fold_003,20,2021-11-09,-0.10274882160074038,494
fold_003,20,2021-11-10,-0.12249230130409332,494
fold_003,20,2021-11-11,-0.13097159061306515,494
fold_003,20,2021-11-12,-0.08997809647636108,494
fold_003,20,2021-11-15,-0.07700545293684496,494
fold_003,20,2021-11-16,-0.13832484824277513,494
fold_003,20,2021-11-17,-0.09517129838303619,494
fold_003,20,2021-11-18,-0.06749544997206944,494
fold_003,20,2021-11-19,-0.10680843594020886,494
fold_003,20,2021-11-22,-0.07351235254137449,494
fold_003,20,2021-11-23,0.0026816387181665046,494
fold_003,20,2021-11-24,-0.07683132476082079,494
fold_003,20,2021-11-26,-0.09981426373030687,494
fold_003,20,2021-11-29,-0.024803310459289244,494
fold_003,20,2021-11-30,-0.10090943912296015,494
fold_003,20,2021-12-01,-0.061648173497076325,494
